id,slur,content,author_id,title
1,,,163,
2,,,278,
3,,,48,
4,,,74,
5,,,246,
6,,,144,
7,,,232,
8,,,241,
9,,,130,
10,,,9,
11,,,252,
12,,,200,
13,,,335,
14,,,252,
15,,,275,
16,,,291,
17,,,227,
18,,,383,
19,,,87,
20,,,194,
21,,,288,
22,,,209,
23,,,249,
24,,,272,
25,,,131,
26,,,353,
27,,,138,
28,,,47,
29,,,313,
30,,,271,
31,,,303,
32,,,151,
33,,,235,
34,,,258,
35,,,232,
36,,,373,
37,,,75,
38,,,312,
39,,,135,
40,,,223,
41,,,128,
42,,,239,
43,,,192,
44,,,229,
45,,,62,
46,,,219,
47,,,144,
48,,,398,
49,,,111,
50,,,309,
51,,,353,
52,,,281,
53,,,17,
54,,,248,
55,,,106,
56,,,231,
57,,,139,
58,,,238,
59,,,40,
60,,,156,
61,,,258,
62,,,27,
63,,,197,
64,,,308,
65,,,355,
66,,,28,
67,,,305,
68,,,207,
69,,,345,
70,,,310,
71,,,246,
72,,,213,
73,,,45,
74,,,165,
75,,,263,
76,,,353,
77,,,20,
78,,,66,
79,,,135,
80,,,307,
81,,,42,
82,,,305,
83,,,147,
84,,,386,
85,,,332,
86,,,369,
87,,,373,
88,,,217,
89,,,373,
90,,,101,
91,,,14,
92,,,44,
93,,,277,
94,,,291,
95,,,170,
96,,,138,
97,,,236,
98,,,23,
99,,,255,
100,,,33,
101,,,313,
102,,,385,
103,,,91,
104,,,245,
105,,,241,
106,,,261,
107,,,373,
108,,,358,
109,,,140,
110,,,357,
111,,,363,
112,,,397,
113,,,393,
114,,,270,
115,,,338,
116,,,124,
117,,,295,
118,,,210,
119,,,295,
120,,,67,
121,,,79,
122,,,367,
123,,,380,
124,,,27,
125,,,343,
126,,,120,
127,,,114,
128,,,196,
129,,,287,
130,,,240,
131,,,199,
132,,,37,
133,,,109,
134,,,46,
135,,,206,
136,,,162,
137,,,319,
138,,,63,
139,,,330,
140,,,196,
141,,,305,
142,,,358,
143,,,201,
144,,,4,
145,,,139,
146,,,363,
147,,,9,
148,,,62,
149,,,397,
150,,,91,
151,,,95,
152,,,73,
153,,,121,
154,,,84,
155,,,159,
156,,,326,
157,,,181,
158,,,184,
159,,,226,
160,,,50,
161,,,15,
162,,,309,
163,,,275,
164,,,300,
165,,,247,
166,,,400,
167,,,336,
168,,,349,
169,,,94,
170,,,119,
171,,,281,
172,,,63,
173,,,173,
174,,,132,
175,,,288,
176,,,216,
177,,,154,
178,,,193,
179,,,11,
180,,,249,
181,,,88,
182,,,263,
183,,,280,
184,,,288,
185,,,309,
186,,,201,
187,,,389,
188,,,78,
189,,,216,
190,,,118,
191,,,170,
192,,,238,
193,,,280,
194,,,107,
195,,,21,
196,,,99,
197,,,276,
198,,,38,
199,,,324,
200,,,362,
201,,,327,
202,,,225,
203,,,205,
204,,,229,
205,,,299,
206,,,167,
207,,,14,
208,,,21,
209,,,158,
210,,,55,
211,,,203,
212,,,303,
213,,,46,
214,,,130,
215,,,259,
216,,,337,
217,,,347,
218,,,261,
219,,,288,
220,,,297,
221,,,148,
222,,,391,
223,,,256,
224,,,194,
225,,,256,
226,,,341,
227,,,191,
228,,,203,
229,,,247,
230,,,213,
231,,,288,
232,,,127,
233,,,224,
234,,,359,
235,,,268,
236,,,122,
237,,,29,
238,,,113,
239,,,137,
240,,,109,
241,,,296,
242,,,397,
243,,,54,
244,,,106,
245,,,293,
246,,,330,
247,,,219,
248,,,245,
249,,,147,
250,,,196,
251,,,267,
252,,,118,
253,,,258,
254,,,184,
255,,,348,
256,,,115,
257,,,77,
258,,,239,
259,,,301,
260,,,137,
261,,,193,
262,,,70,
263,,,296,
264,,,277,
265,,,318,
266,,,138,
267,,,154,
268,,,156,
269,,,21,
270,,,108,
271,,,51,
272,,,397,
273,,,353,
274,,,102,
275,,,229,
276,,,179,
277,,,34,
278,,,189,
279,,,184,
280,,,386,
281,,,137,
282,,,4,
283,,,308,
284,,,314,
285,,,302,
286,,,218,
287,,,181,
288,,,84,
289,,,251,
290,,,329,
291,,,105,
292,,,379,
293,,,121,
294,,,384,
295,,,289,
296,,,253,
297,,,219,
298,,,23,
299,,,4,
300,,,339,
301,,,248,
302,,,100,
303,,,205,
304,,,354,
305,,,166,
306,,,183,
307,,,128,
308,,,251,
309,,,21,
310,,,177,
311,,,251,
312,,,153,
313,,,222,
314,,,334,
315,,,10,
316,,,23,
317,,,154,
318,,,285,
319,,,206,
320,,,279,
321,,,34,
322,,,79,
323,,,346,
324,,,207,
325,,,222,
326,,,82,
327,,,24,
328,,,32,
329,,,35,
330,,,67,
331,,,175,
332,,,333,
333,,,258,
334,,,332,
335,,,40,
336,,,82,
337,,,76,
338,,,186,
339,,,240,
340,,,319,
341,,,201,
342,,,184,
343,,,63,
344,,,308,
345,,,322,
346,,,203,
347,,,205,
348,,,119,
349,,,333,
350,,,348,
351,,,171,
352,,,363,
353,,,195,
354,,,188,
355,,,271,
356,,,249,
357,,,168,
358,,,34,
359,,,164,
360,,,42,
361,,,24,
362,,,14,
363,,,19,
364,,,290,
365,,,200,
366,,,226,
367,,,295,
368,,,216,
369,,,356,
370,,,271,
371,,,74,
372,,,264,
373,,,147,
374,,,41,
375,,,130,
376,,,32,
377,,,181,
378,,,269,
379,,,225,
380,,,150,
381,,,94,
382,,,91,
383,,,209,
384,,,92,
385,,,145,
386,,,90,
387,,,296,
388,,,258,
389,,,121,
390,,,194,
391,,,5,
392,,,382,
393,,,134,
394,,,149,
395,,,117,
396,,,92,
397,,,253,
398,,,252,
399,,,190,
400,,,274,
